"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.02.2021","8,01","8,01","8,01","8,01","-","0,00%"
"26.02.2021","8,01","8,19","9,01","7,63","137,03M","-3,38%"
"25.02.2021","8,29","10,89","11,00","7,85","436,68M","-8,80%"
"24.02.2021","9,09","7,23","9,83","6,99","376,88M","18,05%"
"23.02.2021","7,70","6,97","7,86","6,01","261,76M","17,56%"
"22.02.2021","6,55","5,93","6,68","5,75","151,20M","14,91%"
"19.02.2021","5,70","5,54","5,77","5,51","40,25M","3,45%"
"18.02.2021","5,51","5,80","6,23","5,46","130,54M","-0,72%"
"17.02.2021","5,55","5,58","5,62","5,32","38,21M","-1,77%"
"16.02.2021","5,65","6,03","6,05","5,49","60,01M","1,07%"
"12.02.2021","5,59","5,72","5,97","5,52","46,77M","-0,36%"
"11.02.2021","5,61","5,62","5,85","5,47","54,92M","-3,28%"
"10.02.2021","5,80","5,71","6,59","5,45","150,10M","5,45%"
"09.02.2021","5,50","5,81","5,81","5,26","97,58M","-11,00%"
"08.02.2021","6,18","6,88","6,89","5,75","127,12M","-9,52%"
"05.02.2021","6,83","7,17","8,27","6,52","197,10M","-3,67%"
"04.02.2021","7,09","8,71","8,71","7,00","162,99M","-20,96%"
"03.02.2021","8,97","8,87","9,75","7,89","221,41M","14,71%"
"02.02.2021","7,82","9,41","10,01","6,08","462,78M","-41,20%"
"01.02.2021","13,30","17,14","17,14","12,94","434,61M","0,30%"
"29.01.2021","13,26","14,31","16,00","11,60","602,19M","53,65%"
"28.01.2021","8,63","12,03","16,35","6,52","591,22M","-56,63%"
"27.01.2021","19,90","20,31","20,32","11,01","1,25B","301,21%"
"26.01.2021","4,96","5,05","5,17","4,38","456,85M","12,22%"
"25.01.2021","4,42","4,71","4,88","3,87","443,24M","25,93%"
"24.01.2021","3,51","3,51","3,51","3,51","-","0,00%"
"22.01.2021","3,51","2,91","3,74","2,81","268,27M","17,79%"
"21.01.2021","2,98","2,99","3,06","2,86","64,82M","0,34%"
"20.01.2021","2,97","3,29","3,34","2,75","179,56M","-2,94%"
"19.01.2021","3,06","2,80","3,20","2,57","248,88M","31,33%"
"15.01.2021","2,33","2,20","2,55","2,18","162,36M","6,88%"
"14.01.2021","2,18","2,22","2,32","2,13","48,90M","0,00%"
"13.01.2021","2,18","2,33","2,38","2,13","45,85M","-4,80%"
"12.01.2021","2,29","2,24","2,39","2,23","41,30M","4,09%"
"11.01.2021","2,20","2,16","2,27","2,15","41,42M","2,80%"
"10.01.2021","2,14","2,14","2,14","2,14","-","0,00%"
"09.01.2021","2,14","2,14","2,14","2,14","-","0,00%"
"08.01.2021","2,14","2,09","2,21","2,08","39,55M","4,39%"
"07.01.2021","2,05","2,08","2,11","2,02","25,69M","1,99%"
"06.01.2021","2,01","2,01","2,19","1,97","67,36M","1,52%"
"05.01.2021","1,98","1,99","2,03","1,91","27,33M","-1,49%"
"04.01.2021","2,01","2,18","2,18","2,00","29,87M","-5,19%"
"31.12.2020","2,12","2,17","2,22","2,08","28,23M","-1,85%"
"30.12.2020","2,16","2,30","2,30","2,13","39,81M","-5,68%"
"29.12.2020","2,29","2,44","2,46","2,28","20,68M","-4,18%"
"28.12.2020","2,39","2,63","2,63","2,36","23,29M","-4,78%"
"24.12.2020","2,51","2,59","2,60","2,48","11,09M","-1,95%"
"23.12.2020","2,56","2,58","2,65","2,54","15,72M","-1,16%"
"22.12.2020","2,59","2,72","2,72","2,52","21,69M","-3,36%"
"21.12.2020","2,68","2,60","2,74","2,60","22,70M","-4,29%"
"18.12.2020","2,80","2,85","2,85","2,76","21,94M","-1,75%"
"17.12.2020","2,85","2,80","2,95","2,74","23,80M","2,52%"
"16.12.2020","2,78","2,86","2,88","2,72","25,42M","-2,80%"
"15.12.2020","2,86","3,23","3,23","2,76","54,43M","-10,34%"
"14.12.2020","3,19","4,01","4,01","3,00","66,65M","-18,62%"
"11.12.2020","3,92","4,04","4,25","3,87","22,31M","-4,16%"
"10.12.2020","4,09","3,79","4,10","3,77","17,97M","5,96%"
"09.12.2020","3,86","4,22","4,33","3,75","20,73M","-3,02%"
"08.12.2020","3,98","3,61","4,02","3,61","29,27M","11,80%"
"07.12.2020","3,56","3,45","3,74","3,33","20,23M","1,42%"
"04.12.2020","3,51","3,75","3,76","3,30","33,16M","-3,31%"
"03.12.2020","3,63","4,01","4,22","3,50","65,23M","-15,97%"
"02.12.2020","4,32","4,08","4,34","3,95","11,70M","4,10%"
